French,English
partie,part
police,police
pensais,thought
demande,request
frère,brother
laisser,let
car,because
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
bébé,baby
vont,will
revoir,meet again
aucune,any
parle,speak
savais,knew
attention,Warning
pourrais,could
donner,give
leurs,their
corps,body
yeux,eyes
dont,whose
trouve,find
première,first
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
minutes,minutes
demandé,request
mis,placed
belle,beautiful
droit,law
aimerais,would like to
enfin,finally
espère,hope
parti,left
nouvelle,new
boulot,job
arrêter,Stop
compte,account
donne,given
loin,far
fin,end
chérie,sweetheart
aura,will have
jouer,to play
bureau,office
