French,English
partie,part
police,police
demande,request
laisser,let
car,because
eux,them
ville,city
chaque,each
parlé,speak
bébé,baby
vont,will
revoir,meet again
aucune,any
parle,speak
savais,knew
pourrais,could
donner,give
leurs,their
yeux,eyes
dont,whose
trouve,find
pouvoir,power
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
demandé,request
mis,placed
belle,beautiful
droit,law
aimerais,would like to
parti,left
nouvelle,new
boulot,job
arrêter,Stop
compte,account
donne,given
loin,far
fin,end
aura,will have
jouer,to play
bureau,office
